source,date,rating,text,author,clean_text,word_count
Play Store,2026-07-16 15:35:06,1,"I have ordered from Instamart by mistake i have selected one wrong item for that they have taken a 100% cancelled fee amount of 236. Hence I was a regular Swiggy customer. They are giving false promises to customers that the amount will be credited to your account but after a few days they will say a cancellation fee,!",Sajid Ahmed,"i have ordered from instamart by mistake i have selected one wrong item for that they have taken a 100% cancelled fee amount of 236. hence i was a regular swiggy customer. they are giving false promises to customers that the amount will be credited to your account but after a few days they will say a cancellation fee,!",59
Play Store,2026-07-16 15:24:27,5,very useful tings . i hungry but I doing work and not make food instantly so order the food Swiggy website.,Anuj Kumar,very useful tings . i hungry but i doing work and not make food instantly so order the food swiggy website.,21
Play Store,2026-07-16 15:21:44,4,"Good app, but could be better. It should shortout food according to lower to higher price for each restaurant and all restaurants together too.",Prabhat Kumar Singh,"good app, but could be better. it should shortout food according to lower to higher price for each restaurant and all restaurants together too.",24
Play Store,2026-07-16 14:58:17,2,"The estimated delivery time was 20 minutes, but it took over an hour to arrive. I watched the driver went on other stops on the map in the completely opposite direction while my food sat in their with. By the time it got to me, the food was completely ice-cold and un-eatable. The app charges way too many service fees to deliver soggy, cold food.",khushali zaveri,"the estimated delivery time was 20 minutes, but it took over an hour to arrive. i watched the driver went on other stops on the map in the completely opposite direction while my food sat in their with. by the time it got to me, the food was completely ice-cold and un-eatable. the app charges way too many service fees to deliver soggy, cold food.",65
Play Store,2026-07-16 14:55:45,1,swiggy is pathetic. their customer experience is the worst. they do not care about customer's satisfaction nor experience. worst app,Aravindha Raj,swiggy is pathetic. their customer experience is the worst. they do not care about customer's satisfaction nor experience. worst app,20
Play Store,2026-07-16 14:55:15,1,"ads ads ads ads ads, cannot even see my order details, screen full of ads",Sanjoy Jamatia,"ads ads ads ads ads, cannot even see my order details, screen full of ads",15
Play Store,2026-07-16 14:52:18,1,"I had a very disappointing experience with Swiggy's customer service. The support team was completely unhelpful and failed to resolve my issue even after multiple conversations. Instead of providing a proper solution, they kept giving generic responses and closed the case without addressing the actual problem. As a customer, I expected better service and accountability, but unfortunately, the experience was frustrating and a complete waste of time. Good customer support is just as important as",sushant balsaraf,"i had a very disappointing experience with swiggy's customer service. the support team was completely unhelpful and failed to resolve my issue even after multiple conversations. instead of providing a proper solution, they kept giving generic responses and closed the case without addressing the actual problem. as a customer, i expected better service and accountability, but unfortunately, the experience was frustrating and a complete waste of time. good customer support is just as important as",75
Play Store,2026-07-16 14:52:09,5,"on Instamart order cancel by mistake not get refund or order, ruined birthday surprise",Ajay Thakkar,"on instamart order cancel by mistake not get refund or order, ruined birthday surprise",14
Play Store,2026-07-16 14:43:17,1,delivery always delayed and if cancel charges us stupids worst experience,Geetha V,delivery always delayed and if cancel charges us stupids worst experience,11
Play Store,2026-07-16 14:39:26,1,order is half hour late then also ther is no option to cancel order and get refund,Nishant Patel,order is half hour late then also ther is no option to cancel order and get refund,17
Play Store,2026-07-16 14:26:32,1,"This app is not good. I ordered momos, but I was sent pizza instead. When I refused to accept it, they told me that I would be charged a penalty on my next order. Then I placed another order from a different mobile and shared the landmark location, but the delivery person did not arrive and spoke to me very rudely.",MURARI KI KOCKTAIL,"this app is not good. i ordered momos, but i was sent pizza instead. when i refused to accept it, they told me that i would be charged a penalty on my next order. then i placed another order from a different mobile and shared the landmark location, but the delivery person did not arrive and spoke to me very rudely.",61
Play Store,2026-07-16 14:16:32,1,worst platform they dont even listen to complains related to orders,Anirudh,worst platform they dont even listen to complains related to orders,11
Play Store,2026-07-16 13:44:18,1,very bad customer service. item not received and customer service team saying we can only report this issue. what a service!!!!!,vineesh A,very bad customer service. item not received and customer service team saying we can only report this issue. what a service!!!!!,21
Play Store,2026-07-16 13:27:04,1,Very worst customer care services. Fooling the customers even after sharing the genuine concern. I'll go to consumer court for your pathetic response even after followups.,Praveen Y,very worst customer care services. fooling the customers even after sharing the genuine concern. i'll go to consumer court for your pathetic response even after followups.,26
Play Store,2026-07-16 13:26:16,1,"fraud app, everytime they group the order and don't even show to customer that their order is grouped or delayed...also whenever order is grouped. they intentionally keep only chat bot option and avoid talking to an agent",DHARMIK VALAKI,"fraud app, everytime they group the order and don't even show to customer that their order is grouped or delayed...also whenever order is grouped. they intentionally keep only chat bot option and avoid talking to an agent",37
Play Store,2026-07-16 13:25:41,1,it's been 1hour 10 mins my order hasn't come yet,Vandana,it's been 1hour 10 mins my order hasn't come yet,10
